Complaint_ID,Complaint_Date,District,Ward,Area,Issue_Type,Department,Priority,Status,Assigned_Officer,Resolution_Date,Citizen_Rating,Latitude,Longitude,Remarks
CMP0001,2026-03-27,East,Ward-17,Salt Lake,Illegal Dumping,Sanitation Department,Medium,Resolved,Neha Gupta,2026-04-04,5.0,22.67306,88.468953,Material Awaited
CMP0002,2026-03-08,Central,Ward-23,Park Street,Sewer Problem,Sewer Department,Medium,In Progress,Anil Shaw,,,22.654766,88.401203,Pending
CMP0003,2026-03-18,North,Ward-30,Shyambazar,Traffic Signal Fault,Traffic Department,Medium,Open,Rahul Sen,,,22.519704,88.410693,Work Completed
CMP0004,2026-01-25,South,Ward-22,Garia,Street Light Fault,Electricity Department,Low,Open,Karan Paul,,,22.564528,88.35829,Material Awaited
CMP0005,2026-06-14,North,Ward-15,Dum Dum,Sewer Problem,Sewer Department,High,Open,Anil Shaw,,,22.462632,88.365512,Verified
CMP0006,2026-02-21,North,Ward-13,Shyambazar,Traffic Signal Fault,Traffic Department,High,Resolved,Rahul Sen,2026-02-24,4.0,22.534155,88.304983,Pending
CMP0007,2026-05-01,East,Ward-30,New Town,Sewer Problem,Sewer Department,High,Resolved,Anil Shaw,2026-05-05,5.0,22.544373,88.480463,Material Awaited
CMP0008,2026-01-31,West,Ward-22,Behala,Road Damage,Road Department,Medium,Open,Rajesh Kumar,,,22.642195,88.368737,Work Completed
CMP0009,2026-12-02,South,Ward-12,Tollygunge,Traffic Signal Fault,Traffic Department,Medium,Resolved,Deepak Bose,2026-02-17,5.0,22.65145,88.286609,Team Assigned
CMP0010,2026-05-25,North,Ward-21,Dum Dum,Traffic Signal Fault,Traffic Department,Medium,In Progress,Rahul Sen,,,22.650545,88.343983,Team Assigned
CMP0011,2026-01-02,West,Ward-7,Behala,Sewer Problem,Sewer Department,Low,In Progress,Anil Shaw,,,22.622199,88.432137,Team Assigned
CMP0012,2026-01-07,West,Ward-19,Behala,Garbage Overflow,Sanitation Department,High,Open,Pooja Sen,,,22.680582,88.377925,Repaired
CMP0013,2026-04-20,South,Ward-15,Tollygunge,Illegal Dumping,Sanitation Department,Medium,Resolved,Neha Gupta,2026-04-26,4.0,22.476662,88.304577,Material Awaited
CMP0014,2026-01-05,South,Ward-12,Garia,Water Leakage,Water Department,Low,Open,Rohit Das,,,22.51975,88.346679,Repaired
CMP0015,2026-06-28,East,Ward-4,Salt Lake,Drain Blockage,Sewer Department,Medium,In Progress,Vikram Das,,,22.482119,88.361714,Inspection Pending
CMP0016,2026-01-16,Central,Ward-1,Park Street,Illegal Dumping,Sanitation Department,High,Resolved,Pooja Sen,2026-01-22,3.0,22.595772,88.407427,Work Completed
CMP0017,2026-01-14,East,Ward-25,New Town,Park Maintenance,Parks Department,Low,Resolved,Sonia Ghosh,2026-01-18,4.0,22.541323,88.496557,Work Completed
CMP0018,2026-05-30,Central,Ward-15,Park Street,Drain Blockage,Sewer Department,High,Resolved,Vikram Das,2026-06-08,3.0,22.610685,88.26418,Pending
CMP0019,2026-05-10,Central,Ward-28,Park Street,Park Maintenance,Parks Department,Low,Open,Arjun Roy,,,22.512902,88.423442,Pending
CMP0020,2026-01-24,East,Ward-6,New Town,Street Light Fault,Electricity Department,Low,In Progress,Karan Paul,,,22.461403,88.443082,Verified
CMP0021,2026-01-13,Central,Ward-26,Park Street,Road Damage,Road Department,High,Open,Rajesh Kumar,,,22.608533,88.315482,Team Assigned
CMP0022,2026-06-16,East,Ward-4,Salt Lake,Traffic Signal Fault,Traffic Department,Medium,In Progress,Rahul Sen,,,22.622776,88.335207,Repaired
CMP0023,2026-04-15,North,Ward-8,Shyambazar,Drain Blockage,Sewer Department,High,Open,Anil Shaw,,,22.496802,88.493832,Inspection Pending
CMP0024,2026-05-29,Central,Ward-27,Esplanade,Garbage Overflow,Sanitation Department,High,Resolved,Pooja Sen,2026-05-31,4.0,22.66027,88.434191,Work Completed
CMP0025,2026-06-22,North,Ward-4,Dum Dum,Park Maintenance,Parks Department,Low,In Progress,Arjun Roy,,,22.454405,88.470711,Pending
CMP0026,2026-06-01,South,Ward-15,Tollygunge,Drain Blockage,Sewer Department,High,Open,Vikram Das,,,22.685645,88.329814,Work Completed
CMP0027,2026-06-13,West,Ward-22,Behala,Pothole,Road Department,Low,Open,Suresh Roy,,,22.529615,88.47903,Repaired
CMP0028,2026-04-05,South,Ward-1,Garia,Street Light Fault,Electricity Department,High,Resolved,Karan Paul,2026-05-08,3.0,22.615585,88.312398,Material Awaited
CMP0029,2026-04-29,South,Ward-27,Tollygunge,Drain Blockage,Sewer Department,Medium,In Progress,Anil Shaw,,,22.54119,88.262413,Team Assigned
CMP0030,2026-04-04,North,Ward-24,Shyambazar,Sewer Problem,Sewer Department,Medium,Open,Anil Shaw,,,22.632178,88.475518,Team Assigned
CMP0031,2026-03-10,Central,Ward-21,Park Street,Sewer Problem,Sewer Department,Low,Resolved,Vikram Das,2026-03-18,4.0,22.453689,88.30584,Pending
CMP0032,2026-02-28,West,Ward-8,Santragachi,Pothole,Road Department,High,In Progress,Rajesh Kumar,,,22.580584,88.455704,Team Assigned
CMP0033,2026-11-01,Central,Ward-6,Esplanade,Illegal Dumping,Sanitation Department,Medium,Open,Neha Gupta,,,22.667986,88.393366,Pending
CMP0034,2026-02-23,South,Ward-9,Tollygunge,Street Light Fault,Electricity Department,Medium,Open,Amit Singh,,,22.520902,88.470582,Verified
CMP0035,2026-03-23,Central,Ward-9,Esplanade,Drain Blockage,Sewer Department,Medium,In Progress,Vikram Das,,,22.608422,88.284927,Work Completed
CMP0036,2026-01-05,West,Ward-9,Behala,Water Leakage,Water Department,Low,In Progress,Rohit Das,,,22.509257,88.343421,Material Awaited
CMP0037,2026-03-26,Central,Ward-30,Park Street,Park Maintenance,Parks Department,Low,In Progress,Arjun Roy,,,22.621263,88.450549,Pending
CMP0038,2026-06-05,South,Ward-30,Garia,Sewer Problem,Sewer Department,High,In Progress,Vikram Das,,,22.574408,88.465808,Work Completed
CMP0039,2026-03-07,East,Ward-3,Salt Lake,Pothole,Road Department,Low,In Progress,Rajesh Kumar,,,22.634891,88.49317,Team Assigned
CMP0040,2026-05-26,West,Ward-24,Santragachi,Sewer Problem,Sewer Department,Medium,Open,Vikram Das,,,22.522113,88.334684,Inspection Pending
CMP0041,2026-01-11,South,Ward-3,Tollygunge,Sewer Problem,Sewer Department,Medium,Open,Anil Shaw,,,22.56561,88.429241,Pending
CMP0042,2026-06-03,North,Ward-24,Shyambazar,Pothole,Road Department,Low,Resolved,Rajesh Kumar,2026-03-14,3.0,22.609428,88.271204,Inspection Pending
CMP0043,2026-01-30,West,Ward-11,Santragachi,Road Damage,Road Department,Low,Open,Rajesh Kumar,,,22.546857,88.40419,Team Assigned
