Complaint_ID,Complaint_Date,District,Ward,Area,Issue_Type,Department,Priority,Status,Assigned_Officer,Resolution_Date,Citizen_Rating,Latitude,Longitude,Remarks,Month,Month_Num,Year,Weekday,Is_Weekend,Quarter,Day_of_Month,Resolution_Time_Days,Resolution_Category,SLA_Status,SLA_Breached_Flag,Complaint_Age_Days,Is_Resolved,Complaint_Severity_Score,Officer_Workload_Count,Area_Complaint_Density,Civic_Priority_Index
CMP0001,2026-03-27,East,Ward-17,Salt Lake,Illegal Dumping,Sanitation Department,Medium,Resolved,Neha Gupta,2026-04-04,5.0,22.67306,88.468953,Material Awaited,March,3,2026,Friday,0,Q1,27,8.0,Slow,SLA Breached,1.0,254,Yes,2,121,97,32.1
CMP0002,2026-03-08,Central,Ward-23,Park Street,Sewer Problem,Sewer Department,Medium,In Progress,Anil Shaw,,,22.654766,88.401203,Pending,March,3,2026,Sunday,1,Q1,8,,Pending,Pending,,273,No,2,112,84,31.2
CMP0003,2026-03-18,North,Ward-30,Shyambazar,Traffic Signal Fault,Traffic Department,Medium,Open,Rahul Sen,,,22.519704,88.410693,Work Completed,March,3,2026,Wednesday,0,Q1,18,,Pending,Pending,,263,No,2,58,108,25.8
CMP0004,2026-01-25,South,Ward-22,Garia,Street Light Fault,Electricity Department,Low,Open,Karan Paul,,,22.564528,88.35829,Material Awaited,January,1,2026,Sunday,1,Q1,25,,Pending,Pending,,315,No,1,59,98,15.9
CMP0005,2026-06-14,North,Ward-15,Dum Dum,Sewer Problem,Sewer Department,High,Open,Anil Shaw,,,22.462632,88.365512,Verified,June,6,2026,Sunday,1,Q2,14,,Pending,Pending,,175,No,3,112,100,41.2
CMP0006,2026-02-21,North,Ward-13,Shyambazar,Traffic Signal Fault,Traffic Department,High,Resolved,Rahul Sen,2026-02-24,4.0,22.534155,88.304983,Pending,February,2,2026,Saturday,1,Q1,21,3.0,Fast,Within SLA,0.0,288,Yes,3,58,108,35.8
CMP0007,2026-05-01,East,Ward-30,New Town,Sewer Problem,Sewer Department,High,Resolved,Anil Shaw,2026-05-05,5.0,22.544373,88.480463,Material Awaited,May,5,2026,Friday,0,Q2,1,4.0,Medium,SLA Breached,1.0,219,Yes,3,112,113,41.2
CMP0008,2026-01-31,West,Ward-22,Behala,Road Damage,Road Department,Medium,Open,Rajesh Kumar,,,22.642195,88.368737,Work Completed,January,1,2026,Saturday,1,Q1,31,,Pending,Pending,,309,No,2,103,121,30.3
CMP0009,2026-12-02,South,Ward-12,Tollygunge,Traffic Signal Fault,Traffic Department,Medium,Resolved,Deepak Bose,2026-02-17,5.0,22.65145,88.286609,Team Assigned,December,12,2026,Wednesday,0,Q4,2,,Pending,Pending,,4,Yes,2,50,109,25.0
CMP0010,2026-05-25,North,Ward-21,Dum Dum,Traffic Signal Fault,Traffic Department,Medium,In Progress,Rahul Sen,,,22.650545,88.343983,Team Assigned,May,5,2026,Monday,0,Q2,25,,Pending,Pending,,195,No,2,58,100,25.8
CMP0011,2026-01-02,West,Ward-7,Behala,Sewer Problem,Sewer Department,Low,In Progress,Anil Shaw,,,22.622199,88.432137,Team Assigned,January,1,2026,Friday,0,Q1,2,,Pending,Pending,,338,No,1,112,121,21.2
